uuid,Void/Retire,name,style,rank,description
526bf278-ba81-4436-b867-c2f6641d060a,,Risk,,1,
627bf278-ba81-4436-b867-c2f6641d060b,,Info,,2,
728bf278-ba81-4436-b867-c2f6641d060c,,Chill,,3,
