Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,_version:1,_order:1000
681cf0bc-5213-492a-8470-0a0b3cc324dd,,MSF:931;CIEL:1065;PIH:1065;AMPATH:1065;SNOMED CT:373066001,Yes,Oui,Sí,,,,Generic answer to a question.,,,Misc,N/A,,,
a5c5563e-df0e-4742-a335-b24fb63664ee,,MSF:930;CIEL:1066;PIH:1066;AMPATH:1066;SNOMED CT:373067005,No,Non,No,,,,Generic answer to a question.,,,Misc,N/A,,,
ccb4c50d-13e0-46a2-bd5e-51c86d042ad8,,MSF:929;CIEL:1067;PIH:1067;AMPATH:1067;SNOMED CT:261665006,Unknown,Ne sait pas,Desconocido,,,,Generic answer to a question.,,,Misc,N/A,,,
