Void/Retire,Entity UUID,Entity class,Basis UUID,Basis class,_order:1000
,e759c81b-24af-4c1e-b1f6-e2982238ed20,org.openmrs.Privilege,4e1159b4-89fa-4d83-9c9a-cee5d36f7d43,org.openmrs.module.appointments.model.AppointmentServiceType,
,8deb8dd2-7df1-42f8-95cc-779442b75167,org.openmrs.Role,4e1159b4-89fa-4d83-9c9a-cee5d36f7d43,org.openmrs.module.appointments.model.AppointmentServiceType,
