Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
b1f0f0a2-1a4d-4f5e-9c2e-0c8f0d5a7102,Matsapha: Registration Supervisor,Matsapha - delete client records (registration supervisor).,,Delete Patients; Delete Patient Identifiers; Delete People; Delete Visits; Delete Encounters; Delete Observations;View Cohorts In Cohort Module;Edit Cohorts In Cohort Module,
b1f0f0a2-1a4d-4f5e-9c2e-0c8f0d5a7104,Matsapha: Data Export,Matsapha - run and export reports / line lists.,,Run Reports; Manage Reports; Manage Report Definitions; Manage Report Designs; Manage Cohort Definitions; Get Patient Cohorts; View Appointments; View Appointment Services;View Cohorts In Cohort Module;Edit Cohorts In Cohort Module;MSF Administrator,
b1f0f0a2-1a4d-4f5e-9c2e-0c8f0d5a7105,Matsapha: Clinical,Matsapha - view and edit the encounter types this clinic runs.,General Doctor,View HIV; Edit HIV; View Family Planning; Edit Family Planning; View Cervical Cancer; Edit Cervical Cancer; View HBV; Edit HBV; View HCV; Edit HCV; View Mental Health; Edit Mental Health; View Social Work; Edit Social Work; View Gynaecology; Edit Gynaecology; View Outpatient; Edit Outpatient; View Adult; Edit Adult; View Pediatrics; Edit Pediatrics; View Referral & Discharge; Edit Referral & Discharge; View TB; Edit TB; View ANC; Edit ANC; View Maternity; Edit Maternity; Add Allergies; Edit Allergies; Edit Conditions; Add Orders; Edit Orders,
