Uuid,Void/Retire,Name,display:en,display:fr,Description,Format,foreign uuid,Searchable
282a4e10-9d75-4161-9cfe-7632989019d1,,Sex at birth,Sex at birth,Sexe à la naissance,Sex at birth,org.openmrs.Concept,a0b79c90-3571-4c2d-876e-7cc3e58bfa8f,true
c8e29544-e9a8-4422-9e93-7bc705a75898,,Second Phone Number,Second Phone Number,Deuxième numéro de téléphone,The second telephone number for the person,java.lang.String,,false
2225132f-0a04-436d-929d-cd24e6af4cd2,,Partnership status,Partnership status,État civil,Partnership status of patient,org.openmrs.Concept,0a303b92-2bc3-4693-bbcb-a27cab95736a,true
7ed1588d-53ff-4d56-a583-90c709ef9753,,Date of first visit,Date of first visit,Date de la première visite,The date of the person's first visit to the health facility,java.lang.String,9a714fad-091e-4821-a547-7d6bc0d83a67,false
